Date,Latitude,Longitude,Soil_Moisture
2020-01-05,42.15443863927893,-119.16159733285662,0.23871371
2020-01-06,42.15443863927893,-119.16159733285662,0.23775193
2020-01-07,42.15443863927893,-119.16159733285662,0.24048463
2020-01-08,42.15443863927893,-119.16159733285662,0.24127035
2020-01-09,42.15443863927893,-119.16159733285662,0.23947127
2020-01-10,42.15443863927893,-119.16159733285662,0.23853196
2020-01-11,42.15443863927893,-119.16159733285662,0.23798703
2020-01-12,42.15443863927893,-119.16159733285662,0.23744011
2020-01-13,42.15443863927893,-119.16159733285662,0.23682126
2020-01-14,42.15443863927893,-119.16159733285662,0.23621744
2020-01-15,42.15443863927893,-119.16159733285662,0.23596458
2020-01-16,42.15443863927893,-119.16159733285662,0.23628467
2020-01-17,42.15443863927893,-119.16159733285662,0.23502707
2020-01-18,42.15443863927893,-119.16159733285662,0.23410407
2020-01-19,42.15443863927893,-119.16159733285662,0.23295954
2020-01-20,42.15443863927893,-119.16159733285662,0.2317456
2020-01-21,42.15443863927893,-119.16159733285662,0.23064683
2020-01-22,42.15443863927893,-119.16159733285662,0.22946973
2020-01-23,42.15443863927893,-119.16159733285662,0.22985266
2020-01-24,42.15443863927893,-119.16159733285662,0.2303478
2020-01-25,42.15443863927893,-119.16159733285662,0.22908759
2020-01-26,42.15443863927893,-119.16159733285662,0.22854644
2020-01-27,42.15443863927893,-119.16159733285662,0.22812188
2020-01-28,42.15443863927893,-119.16159733285662,0.227886
2020-01-29,42.15443863927893,-119.16159733285662,0.227918
2020-01-30,42.15443863927893,-119.16159733285662,0.22835192
2020-01-31,42.15443863927893,-119.16159733285662,0.22864497
2020-02-01,42.15443863927893,-119.16159733285662,0.22773121
2020-02-02,42.15443863927893,-119.16159733285662,0.22622165
2020-02-03,42.15443863927893,-119.16159733285662,0.22582631
2020-02-04,42.15443863927893,-119.16159733285662,0.22580422
2020-02-05,42.15443863927893,-119.16159733285662,0.22656168
2020-02-06,42.15443863927893,-119.16159733285662,0.2257518
2020-02-07,42.15443863927893,-119.16159733285662,0.22506906
2020-02-08,42.15443863927893,-119.16159733285662,0.22512938
2020-02-09,42.15443863927893,-119.16159733285662,0.22700174
